BEGIN GB-B5 The Host of Hosts
PASS GB-B5 final witness selects a real authored route body=(3.00, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-B5 diagonal season moistens the starting seam body=(65.61, 2.66) velocity=(-0.08, -0.11) feet=1.913044 hp=6
PASS GB-B5 extend root through actual seasonal substrate body=(65.60, 2.67) velocity=(0.00, 0.04) feet=1.920954 hp=6
PASS GB-B5 steer seasonal root to (65.00, -4.00) body=(65.60, 2.76) velocity=(0.00, 0.00) feet=2.014726 hp=6
PASS GB-B5 steer seasonal root to (80.00, -4.00) body=(65.60, 2.77) velocity=(0.00, 0.00) feet=2.018094 hp=6
PASS GB-B5 steer seasonal root to (80.00, 1.00) body=(66.56, 3.38) velocity=(0.00, 0.00) feet=2.634761 hp=5
ROOT EXIT tip=(80.00, 0.89) clear=True
PASS GB-B5 body follows the curved seasonal root body=(80.00, 0.89) velocity=(0.00, 0.00) feet=0.1406881 hp=5
PASS GB-B5 root adaptation does not remove the vault's wall body=(80.00, 0.89) velocity=(0.00, 0.00) feet=0.1406881 hp=5
PASS GB-B5 walk 88 body=(87.80, 0.75) velocity=(1.38, 0.00) feet=0.004999876 hp=5
PASS GB-B5 new physical solution earns the final act body=(87.80, 0.75) velocity=(1.38, 0.00) feet=0.004999876 hp=5
PASS GB-B5 stolen rule was actually used against the Host body=(87.80, 0.75) velocity=(0.30, 0.00) feet=0.004999876 hp=5
PASS GB-B5 walk 104 body=(103.79, 0.75) velocity=(1.62, 0.00) feet=0.004999876 hp=6
PASS GB-B5 the gallery threshold clears the temporary adaptation body=(103.80, 0.75) velocity=(0.00, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 157 body=(156.80, 0.75) velocity=(6.22, 0.00) feet=0.004999876 hp=5
PASS GB-B5 walk 209 body=(208.79, 0.75) velocity=(5.47, 0.00) feet=0.004999876 hp=5
PASS GB-B5 walk 261 body=(260.81, 0.75) velocity=(3.00, 0.00) feet=0.004999697 hp=5
PASS GB-B5 recover actual footing after the gallery attack body=(260.74, 0.75) velocity=(-1.20, 0.00) feet=0.004999876 hp=5
PASS GB-B5 jump to 264 / 2 body=(263.71, 2.97) velocity=(0.89, -0.01) feet=2.218774 hp=5
PASS GB-B5 walk 267 body=(266.78, 2.75) velocity=(1.68, 0.00) feet=2.004976 hp=5
PASS GB-B5 mirrored bodies and depth coexist body=(266.78, 2.75) velocity=(1.68, 0.00) feet=2.004976 hp=5
PASS GB-B5 depth change has a real tenant body=(266.78, 2.75) velocity=(1.68, 0.00) feet=2.004976 hp=5
PASS GB-B5 real plane landing 0 at 266 body=(266.03, 4.09) velocity=(0.04, -1.00) feet=3.607476 hp=5
PASS GB-B5 walk 271 body=(270.79, 4.05) velocity=(1.19, 0.00) feet=3.567499 hp=5
PASS GB-B5 walk 268 body=(268.21, 4.05) velocity=(-1.17, 0.00) feet=3.567499 hp=5
PASS GB-B5 asymmetric calipers align bodies in different physical planes body=(268.21, 4.05) velocity=(-1.17, 0.00) feet=3.567499 hp=5
PASS GB-B5 the other collision body participates in the near plane body=(268.21, 4.05) velocity=(-0.09, 0.00) feet=3.567499 hp=5
PASS GB-B5 released heart falls through actual geometry to the bottom body=(268.21, 4.05) velocity=(0.00, 0.00) feet=3.567499 hp=5
PASS GB-B5 the chosen pair caused the physical victory body=(268.21, 4.05) velocity=(0.00, 0.00) feet=3.567499 hp=5
PASS GB-B5 the first corruption remains recorded after victory body=(268.21, 4.05) velocity=(0.00, 0.00) feet=3.567499 hp=5
PASS GB-B5 physical return completed body=(268.21, 4.05) velocity=(0.00, 0.00) feet=3.567499 hp=5
PASS GB-B5 clear is persistent body=(268.21, 4.05) velocity=(0.00, 0.00) feet=3.567499 hp=5
PASS GB-B5 boss victory enters the real ending screen body=(268.21, 4.05) velocity=(0.00, 0.00) feet=3.567499 hp=5
PASS GB-B5 ending presentation never erases permanent gameplay corruption body=(268.21, 4.05) velocity=(0.00, 0.00) feet=3.567499 hp=5
ENDING DISPLAY batch=False actual=Ending normal=False
PASS GB-B5 ending artwork obeys the real save and practice boundary body=(268.21, 4.05) velocity=(0.00, 0.00) feet=3.567499 hp=5
