BEGIN GB-B5 The Host of Hosts
PASS GB-B5 final witness selects a real authored route body=(3.00, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 70.5 body=(70.28, -5.17) velocity=(1.95, -1.00) feet=-5.919484 hp=6
PASS GB-B5 fall into the opened vault body=(70.28, -5.17) velocity=(1.95, -1.00) feet=-5.919484 hp=6
PASS GB-B5 jump to 73 / -4 body=(72.71, -3.25) velocity=(0.88, 0.00) feet=-3.995004 hp=6
PASS GB-B5 walk 74.15 body=(73.93, -3.25) velocity=(1.65, 0.00) feet=-3.995 hp=6
PASS GB-B5 the same removed wall becomes a bridge in the pit body=(74.00, -3.25) velocity=(1.32, 0.00) feet=-3.995 hp=6
PASS GB-B5 jump to 77 / -2 body=(76.70, -1.25) velocity=(0.92, 0.00) feet=-1.995235 hp=6
PASS GB-B5 walk 77.7 body=(77.48, -1.25) velocity=(1.65, 0.00) feet=-1.995008 hp=6
PASS GB-B5 jump to 80.5 / 0 body=(80.21, 0.75) velocity=(0.90, 0.00) feet=0.004765213 hp=6
PASS GB-B5 walk 88 body=(87.80, 0.75) velocity=(1.52, 0.00) feet=0.004999876 hp=6
PASS GB-B5 new physical solution earns the final act body=(87.80, 0.75) velocity=(1.52, 0.00) feet=0.004999876 hp=6
PASS GB-B5 stolen rule was actually used against the Host body=(87.81, 0.75) velocity=(0.44, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 104 body=(103.80, 0.75) velocity=(1.54, 0.00) feet=0.004999876 hp=6
PASS GB-B5 the gallery threshold clears the temporary adaptation body=(103.81, 0.75) velocity=(0.00, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 185 body=(184.81, 0.75) velocity=(5.50, 0.00) feet=0.004999876 hp=5
PASS GB-B5 jump to 187 / 2 body=(186.70, 2.75) velocity=(0.92, 0.00) feet=2.001587 hp=5
PASS GB-B5 jump to 188.5 / 4 body=(188.21, 4.76) velocity=(0.90, 0.00) feet=4.009919 hp=5
PASS GB-B5 walk 191 body=(190.79, 4.76) velocity=(1.61, 0.00) feet=4.009919 hp=5
PASS GB-B5 the structural morsel is approached with a real Gullet body=(190.79, 4.76) velocity=(1.61, 0.00) feet=4.009919 hp=5
PASS GB-B5 the cargo was removed from the actual entry floor body=(190.80, 4.72) velocity=(0.12, -1.57) feet=3.967141 hp=5
PASS GB-B5 removing the floor changes support body=(190.80, 0.75) velocity=(0.00, 0.00) feet=0.004499972 hp=5
PASS GB-B5 walk 196 body=(195.78, 0.75) velocity=(1.67, 0.00) feet=0.004999876 hp=5
PASS GB-B5 wax joins the terrain-carrying Gullet body=(195.78, 0.75) velocity=(1.67, 0.00) feet=0.004999876 hp=5
PASS GB-B5 tenant acquired Wax body=(195.78, 0.75) velocity=(1.67, 0.00) feet=0.004999876 hp=5
PASS GB-B5 focus Wax body=(195.78, 0.75) velocity=(1.67, 0.00) feet=0.004999876 hp=5
PASS GB-B5 excess wax remains outside the cargo tray body=(195.79, 0.67) velocity=(0.00, 0.00) feet=0.004999876 hp=5
PASS GB-B5 jump to 199 / 1.8 body=(198.71, 2.47) velocity=(0.91, 0.00) feet=1.805 hp=5
PASS GB-B5 walk 199.5 body=(199.30, 2.47) velocity=(1.55, 0.00) feet=1.805 hp=5
PASS GB-B5 tenant acquired Gullet body=(199.30, 2.47) velocity=(1.55, 0.00) feet=1.805 hp=5
PASS GB-B5 focus Gullet body=(199.30, 2.47) velocity=(0.00, 0.00) feet=1.805 hp=5
PASS GB-B5 the same terrain becomes the lift's actual floor body=(199.32, 2.47) velocity=(0.00, 0.00) feet=1.805 hp=5
PASS GB-B5 land on the same terrain while its cargo tray begins moving body=(201.52, 4.18) velocity=(2.05, -1.00) feet=3.516666 hp=5
PASS GB-B5 conserved living load and structural cargo raise the physical lift body=(201.53, 10.18) velocity=(0.00, -1.00) feet=9.516661 hp=5
PASS GB-B5 lift carries the same tile rather than an inventory key body=(201.53, 10.18) velocity=(0.00, -1.00) feet=9.516661 hp=5
PASS GB-B5 jump to 207 / 11.5 body=(206.71, 12.17) velocity=(0.89, 0.00) feet=11.50833 hp=5
PASS GB-B5 walk 210 body=(209.80, 12.17) velocity=(1.50, 0.00) feet=11.50833 hp=5
PASS GB-B5 the balanced cargo route reaches the real tendon body=(209.80, 12.17) velocity=(1.50, 0.00) feet=11.50833 hp=5
PASS GB-B5 released heart falls through actual geometry to the bottom body=(212.34, 12.17) velocity=(0.00, 0.00) feet=11.505 hp=4
PASS GB-B5 the chosen pair caused the physical victory body=(212.34, 12.17) velocity=(0.00, 0.00) feet=11.505 hp=4
PASS GB-B5 the first corruption remains recorded after victory body=(212.34, 12.17) velocity=(0.00, 0.00) feet=11.505 hp=4
PASS GB-B5 physical return completed body=(212.34, 12.17) velocity=(0.00, 0.00) feet=11.505 hp=4
PASS GB-B5 clear is persistent body=(212.34, 12.17) velocity=(0.00, 0.00) feet=11.505 hp=4
PASS GB-B5 boss victory enters the real ending screen body=(212.34, 12.17) velocity=(0.00, 0.00) feet=11.505 hp=4
PASS GB-B5 ending presentation never erases permanent gameplay corruption body=(212.34, 12.17) velocity=(0.00, 0.00) feet=11.505 hp=4
ENDING DISPLAY batch=False actual=Ending normal=False
PASS GB-B5 ending artwork obeys the real save and practice boundary body=(212.34, 12.17) velocity=(0.00, 0.00) feet=11.505 hp=4
